ID;Name
01a30c8b-03f3-4f87-9aba-4096af031688;X-ray Charlie Victor
b60a979a-c022-441e-bfc0-745802ef8bb8;Zulu Foxtrot X-ray
e3e7a4a2-baa1-4a76-ba35-e56ea21aff0e;Sierra Hotel Juliett
023d39b1-6890-4638-a51a-06871e149cfe;Alfa Uniform
026d9316-74d1-49c4-865b-7c94c39b80e7;Foxtrot
3bfe18b2-c9c8-4c88-a622-e97b4e712605;Victor
7003ab74-e5dd-4280-b8e6-80173e47be23;Tango Zulu
cf671eb7-ea7a-4af0-a99d-7365f2d1306e;Juliett Alfa
b071ff47-5c60-4dd3-8038-970da439ef97;Mike India
b4e87d98-1e23-4781-b8f4-a468db41ebf4;Bravo